axis_id,layer,prompt_index,pair_id,template_id,split,side,alpha,positions,logprob_diff,prompt
congenital_cardiac_vs_other_congenital_ccs,27,0,congenital_cardiac_vs_other_congenital_ccs_0006_ed59a283c6,8,test,positive,-6.0,prompt_all,-10.28941822052002,"The diagnosis text is 'Patent ductus arteriosus'. In this experiment, its medical concept side is"
congenital_cardiac_vs_other_congenital_ccs,27,0,congenital_cardiac_vs_other_congenital_ccs_0006_ed59a283c6,8,test,positive,-4.0,prompt_all,-10.284728407859802,"The diagnosis text is 'Patent ductus arteriosus'. In this experiment, its medical concept side is"
congenital_cardiac_vs_other_congenital_ccs,27,0,congenital_cardiac_vs_other_congenital_ccs_0006_ed59a283c6,8,test,positive,-2.0,prompt_all,-10.28002941608429,"The diagnosis text is 'Patent ductus arteriosus'. In this experiment, its medical concept side is"
congenital_cardiac_vs_other_congenital_ccs,27,0,congenital_cardiac_vs_other_congenital_ccs_0006_ed59a283c6,8,test,positive,-1.0,prompt_all,-10.277680516242981,"The diagnosis text is 'Patent ductus arteriosus'. In this experiment, its medical concept side is"
congenital_cardiac_vs_other_congenital_ccs,27,0,congenital_cardiac_vs_other_congenital_ccs_0006_ed59a283c6,8,test,positive,0.0,prompt_all,-10.275323390960693,"The diagnosis text is 'Patent ductus arteriosus'. In this experiment, its medical concept side is"
congenital_cardiac_vs_other_congenital_ccs,27,0,congenital_cardiac_vs_other_congenital_ccs_0006_ed59a283c6,8,test,positive,1.0,prompt_all,-10.27297842502594,"The diagnosis text is 'Patent ductus arteriosus'. In this experiment, its medical concept side is"
congenital_cardiac_vs_other_congenital_ccs,27,0,congenital_cardiac_vs_other_congenital_ccs_0006_ed59a283c6,8,test,positive,2.0,prompt_all,-10.270633578300476,"The diagnosis text is 'Patent ductus arteriosus'. In this experiment, its medical concept side is"
congenital_cardiac_vs_other_congenital_ccs,27,0,congenital_cardiac_vs_other_congenital_ccs_0006_ed59a283c6,8,test,positive,4.0,prompt_all,-10.265941977500916,"The diagnosis text is 'Patent ductus arteriosus'. In this experiment, its medical concept side is"
congenital_cardiac_vs_other_congenital_ccs,27,0,congenital_cardiac_vs_other_congenital_ccs_0006_ed59a283c6,8,test,positive,6.0,prompt_all,-10.26123583316803,"The diagnosis text is 'Patent ductus arteriosus'. In this experiment, its medical concept side is"
congenital_cardiac_vs_other_congenital_ccs,27,1,congenital_cardiac_vs_other_congenital_ccs_0006_ed59a283c6,9,test,positive,-6.0,prompt_all,-7.489475190639496,Medical concept extraction task. Input diagnosis: Patent ductus arteriosus. Output concept:
congenital_cardiac_vs_other_congenital_ccs,27,1,congenital_cardiac_vs_other_congenital_ccs_0006_ed59a283c6,9,test,positive,-4.0,prompt_all,-7.489017777144909,Medical concept extraction task. Input diagnosis: Patent ductus arteriosus. Output concept:
congenital_cardiac_vs_other_congenital_ccs,27,1,congenital_cardiac_vs_other_congenital_ccs_0006_ed59a283c6,9,test,positive,-2.0,prompt_all,-7.488550186157227,Medical concept extraction task. Input diagnosis: Patent ductus arteriosus. Output concept:
congenital_cardiac_vs_other_congenital_ccs,27,1,congenital_cardiac_vs_other_congenital_ccs_0006_ed59a283c6,9,test,positive,-1.0,prompt_all,-7.488319635391235,Medical concept extraction task. Input diagnosis: Patent ductus arteriosus. Output concept:
congenital_cardiac_vs_other_congenital_ccs,27,1,congenital_cardiac_vs_other_congenital_ccs_0006_ed59a283c6,9,test,positive,0.0,prompt_all,-7.488086387515068,Medical concept extraction task. Input diagnosis: Patent ductus arteriosus. Output concept:
congenital_cardiac_vs_other_congenital_ccs,27,1,congenital_cardiac_vs_other_congenital_ccs_0006_ed59a283c6,9,test,positive,1.0,prompt_all,-7.487850859761238,Medical concept extraction task. Input diagnosis: Patent ductus arteriosus. Output concept:
congenital_cardiac_vs_other_congenital_ccs,27,1,congenital_cardiac_vs_other_congenital_ccs_0006_ed59a283c6,9,test,positive,2.0,prompt_all,-7.487624943256378,Medical concept extraction task. Input diagnosis: Patent ductus arteriosus. Output concept:
congenital_cardiac_vs_other_congenital_ccs,27,1,congenital_cardiac_vs_other_congenital_ccs_0006_ed59a283c6,9,test,positive,4.0,prompt_all,-7.487155854701996,Medical concept extraction task. Input diagnosis: Patent ductus arteriosus. Output concept:
